"LoincNumber","ConsumerName"
"26999-3","Homocystine, Urine"
"6884-1","Homocystine, Urine"
"13759-6","Homocystine/Creatinine, Urine"
"22707-4","Homocystine/Creatinine, Urine"
"25929-1","Homocystine/Creatinine, Urine"
"30051-7","Homocystine/Creatinine, Urine"
"44378-8","Homocystine/Creatinine, Urine"
"56682-8","Homocystine/Creatinine, Urine"
"46741-5","Homocystinuria and/or other hypermethioninemias, Dried blood spot"
"35171-8","Homo-gamma Linolenate (C20:3w6), Blood"
"79704-3","Homo-gamma Linolenate (C20:3w6), Red blood cells"
"85083-4","Homogeneous nuclear IgG pattern, Blood"
"20398-4","Homogenous nuclear Ab pattern, Blood"
"53983-3","Homogenous nuclear Ab pattern, Blood"
"54149-0","Homogenous nuclear Ab pattern, Blood"
"96919-6","Homogenous nuclear Ab pattern, Spinal fluid"
"2432-3","Homogentisate, Urine"
"2433-1","Homogentisate, Urine"
"51705-2","Homogentisate, Urine"
"51800-1","Homogentisate, Urine"
"47650-7","Homogentisate/Creatinine, Urine"
"75085-1","Homogentisate/Creatinine, Urine"
"4648-2","Homologous Restriction Factor"
"44908-2","Homovanillate and Creatinine, Urine"
"44906-6","Homovanillate panel, Urine"
"2435-6","Homovanillate, Blood"
"55880-9","Homovanillate, Blood"
"2434-9","Homovanillate, Spinal fluid"
"40846-8","Homovanillate, Spinal fluid"
"11144-3","Homovanillate, Urine"
"12715-9","Homovanillate, Urine"
"14782-7","Homovanillate, Urine"
"14783-5","Homovanillate, Urine"
"2436-4","Homovanillate, Urine"
"25930-9","Homovanillate, Urine"
"27267-4","Homovanillate, Urine"
"53595-5","Homovanillate, Urine"
"59587-6","Homovanillate, Urine"
"11146-8","Homovanillate/Creatinine, Urine"
"13760-4","Homovanillate/Creatinine, Urine"
"22708-2","Homovanillate/Creatinine, Urine"
"25931-7","Homovanillate/Creatinine, Urine"
"51994-2","Homovanillate/Creatinine, Urine"
"15777-6","Honey allergy test"
"7412-0","Honey allergy test"
"94275-5","Honey bee acid phosphatase recombinant (rApi m) 3 allergy test"
"94279-7","Honey bee acid phosphatase recombinant (rApi m) 3 allergy test"
"15570-5","Honey bee allergy test"
"40997-9","Honey bee allergy test"
"6843-7","Honey bee allergy test"
"6844-5","Honey bee allergy test"
"94276-3","Honey bee dipeptidyl peptidase recombinant (rApi m) 5 allergy test"
"94280-5","Honey bee dipeptidyl peptidase recombinant (rApi m) 5 allergy test"
"49739-6","Honey bee IgG antibody"
"6727-2","Honey bee IgG antibody"
"44298-8","Honey bee IgG RAST class"
"26407-7","Honey bee IgG4 antibody"
"56286-8","Honey bee IgG4 antibody"
"26408-5","Honey bee IgG4 RAST class"
"65791-6","Honey bee native (nApi m) 4 allergy test"
"58983-8","Honey Bee Phospholipase A2 Native (nApi m) 1 allergy test"
"82009-2","Honey Bee Phospholipase A2 Native (nApi m) 1 allergy test"
"60241-7","Honey Bee Phospholipase A2 Recombinant (rApi m) 1 allergy test"
"60421-5","Honey Bee Phospholipase A2 Recombinant (rApi m) 1 allergy test"
"97985-6","Honey Bee Phospholipase A2 Recombinant (rApi m) 1 IgG4 antibody"
"82613-1","Honey bee recombinant (rApi m) 10 allergy test"
"82614-9","Honey bee recombinant (rApi m) 10 allergy test"
"97987-2","Honey bee recombinant (rApi m) 10 IgG4 antibody"
"79167-3","Honey bee recombinant (rApi m) 2 allergy test"
"87717-5","Honey bee recombinant (rApi m) 2 allergy test"
"48185-3","Honey bee triggered leukotriene release, White blood cells"
"63119-2","Honey IgG antibody"
"7411-2","Honey IgG antibody"
"56285-0","Honey IgG4 antibody"
"15778-4","Honeysuckle allergy test"
"7413-8","Honeysuckle allergy test"
"15779-2","Hop allergy test"
"61275-4","Hop allergy test"
"6141-6","Hop allergy test"
"63138-2","Hop IgG antibody"
"7414-6","Hop IgG antibody"
"56288-4","Hop IgG4 antibody"
"15780-0","Horn beam allergy test"
"7416-1","Horn beam allergy test"
"99451-7","Horn beam IgG4 antibody"
"15781-8","Hornet allergy test"
"6142-4","Hornet venom allergy test"
"50987-7","Horowitz index Adjusted to Patient's Actual Temperature, Bld+Inhl Gas"
"50989-3","Horowitz index Adjusted to Patient's Actual Temperature, BldA+Inhl Gas"
"50988-5","Horowitz index Adjusted to Patient's Actual Temperature, BldCo+Inhl Gas"
"50990-1","Horowitz index Adjusted to Patient's Actual Temperature, BldMV+Inhl Gas"
"50991-9","Horowitz index Adjusted to Patient's Actual Temperature, BldV+Inhl Gas"
"50982-8","Horowitz index, Bld+Inhl Gas"
"50984-4","Horowitz index, BldA+Inhl Gas"
"50983-6","Horowitz index, BldCo+Inhl Gas"
"50985-1","Horowitz index, BldMV+Inhl Gas"
"50986-9","Horowitz index, BldV+Inhl Gas"
"15281-9","Horse bot fly allergy test"
"25414-4","Horse bot fly allergy test"
"99469-9","Horse bot fly IgG antibody"
"58467-2","Horse bot fly IgG4 antibody"
"15630-7","Horse chestnut allergy test"
"30983-1","Horse chestnut allergy test"
"7220-7","Horse chestnut allergy test"
"15784-2","Horse dander allergy test"
"39550-9","Horse dander allergy test"
"6143-2","Horse dander allergy test"
"56456-7","Horse dander IgG4 antibody"
"7418-7","Horse dander triggered histamine release, Blood"
"15785-9","Horse epithelium allergy test"
"7419-5","Horse epithelium allergy test"
"15717-2","Horse fly allergy test"
"6144-0","Horse fly allergy test"
"7320-5","Horse fly IgG antibody"
"99370-9","Horse fly IgG antibody"
"56467-4","Horse fly IgG4 antibody"
"30088-9","Horse hair+Horse dander allergy test"
"44379-6","Horse hair+Horse dander allergy test"
"99361-8","Horse hair+Horse dander IgG antibody"
"19743-4","Horse meat allergy test"
"25442-5","Horse meat allergy test"
"100404-3","Horse meat IgG antibody"
"64974-9","Horse recombinant (rEqu c) 1 allergy test"
"81978-9","Horse recombinant (rEqu c) 1 allergy test"
"65788-2","Horse serum albumin native (nEqu c) 3 allergy test"
"10935-5","Horse serum proteins allergy test"
"15786-7","Horse serum proteins allergy test"
"15787-5","Horseradish allergy test"
"7420-3","Horseradish allergy test"
"41847-5","Horseradish IgG antibody"
"63147-3","Horseradish IgG antibody"
"56289-2","Horseradish IgG4 antibody"
"65792-4","Horseradish Native (nArm r) HRP allergy test"
"55420-4","Hours after meal"
"6018-6","House dust allergopharma allergy test"
"15788-3","House dust allergy test"
"6145-7","House dust allergy test"
"6146-5","House dust allergy test"
"7421-1","House dust AP allergy test"
"7422-9","House dust AP IgG antibody"
"6040-0","House dust bencard allergy test"
"82006-8","House dust bencard allergy test"
"15789-1","House dust greer allergy test"
"61274-7","House dust greer allergy test"
"9828-5","House dust greer allergy test"
"63157-2","House dust greer IgG antibody"
"7424-5","House dust greer IgG antibody"
"21344-7","House dust greer IgG RAST class"
"56290-0","House dust greer IgG4 antibody"
"15790-9","House dust hausstaub allergy test"
"9444-1","House dust hausstaub allergy test"
"15791-7","House dust hollister stier allergy test"
"7425-2","House dust hollister stier allergy test"
"63158-0","House dust hollister stier IgG antibody"
"7426-0","House dust hollister stier IgG antibody"
"44380-4","House dust hollister stier IgG RAST class"
"95961-9","House dust Japan allergy test"
"7423-7","House dust triggered histamine release, Blood"
"49715-6","Housefly allergy test"
"7321-3","Housefly triggered histamine release, Blood"
"7793-3","Howell-Jolly bodies, Blood"
"56157-1","HOXB13 gene/IL17BR gene, Tissue"
"22070-7","HP gene variant analysis, Blood or tissue specimen"
"21693-7","HP gene variants tested for, Blood or tissue specimen"
"53950-2","HPA 1a/1a+Gp IIb/IIIa, Blood"
"57096-0","HPA 1a/1a+HPA 3a/3a, Blood"
"53949-4","HPA 1a/1a+HPA 3b/3b, Blood"
"53952-8","HPA 1b/1b+Gp IIb/IIa, Blood"
"53951-0","HPA 1b/1b+HPA 3a/3a, Blood"
"53953-6","HPA 5a/5a+Gp ia/IIa, Blood"
"53954-4","HPA 5a/5b+Gp ia/IIa, Blood"
"97998-9","HPA antibody, Blood"
"50604-8","HPA panel, Blood"
"50599-0","HPA-1, Blood"
"50598-2","HPA-15, Blood"
"50596-6","HPA-1a, Blood"
"50597-4","HPA-2, Blood"
"50600-6","HPA-3, Blood"
"50601-4","HPA-4, Blood"
"50602-2","HPA-5, Blood"
"50603-0","HPA-6, Blood"
"77062-8","HPD gene familial variant analysis, Blood or tissue specimen"
"77061-0","HPD gene variant analysis, Blood or tissue specimen"
"55244-8","HPFH-6 gene, Blood"
"53869-4","HPRT1 gene variant analysis, Blood or tissue specimen"
"53870-2","HPS1 gene variant analysis, Blood or tissue specimen"
"17398-9","HPV 11 antigen, Specimen"
"61394-3","HPV 11, Specimen"
"74778-2","HPV 11, Specimen"
"74779-0","HPV 11, Specimen"
"77376-2","HPV 16 and 18 and 31+33+35+39+45+51+52+56+58+59+66+68 DNA Pnl, Anorectal"
"71432-9","HPV 16 and 18 and 31+33+35+39+45+51+52+56+58+59+66+68 DNA Pnl, Cervix"
"77378-8","HPV 16 and 18 and 31+33+35+39+45+51+52+56+58+59+66+68 DNA Pnl, Specimen"
"77380-4","HPV 16 and 18 and 31+33+35+39+45+51+52+56+58+59+66+68, Anorectal"
"77379-6","HPV 16 and 18 and 31+33+35+39+45+51+52+56+58+59+66+68, Cervix"
"77377-0","HPV 16 and 18 and 31+33+35+39+45+51+52+56+58+59+66+68, Specimen"
"70061-7","HPV 16 and 18, Specimen"
"82457-3","HPV 16 and 18+45 E6+E7 mRNA Panel, Cervix"
"75406-9","HPV 16 and 18+45 E6+E7 MRNA, Cervix"
"82354-2","HPV 16 and 18+45 E6+E7 MRNA, Cervix"
"17399-7","HPV 16 antigen, Specimen"
"82456-5","HPV 16 E6+E7 MRNA, Cervix"
"75664-3","HPV 16, Anorectal"
"77396-0","HPV 16, Anorectal"
"59263-4","HPV 16, Cervix"
"77399-4","HPV 16, Cervix"
"91856-5","HPV 16, Genital specimen"
"61372-9","HPV 16, Specimen"
"86560-0","HPV 16, Tissue"
"14503-7","HPV 16+18 antigen, Cervix"
"12223-4","HPV 16+18 antigen, Genital specimen"
"14505-2","HPV 16+18 antigen, Penis"
"17400-3","HPV 16+18 antigen, Specimen"
"14506-0","HPV 16+18 antigen, Urethra"
"14504-5","HPV 16+18 antigen, Vaginal fluid"
"93777-1","HPV 16+18 E6+E7 mRNA, Tissue"
"18478-8","HPV 16+18, Tissue"
"59420-0","HPV 16+18+31+33+35+39+45+51+52+56+58+59+66+68, Cervix"
"82675-0","HPV 16+18+31+33+35+39+45+51+52+56+58+59+66+68, Cervix"
"56140-7","HPV 16+18+31+33+35+39+45+51+52+56+58+59+68, Anal"
"30167-1","HPV 16+18+31+33+35+39+45+51+52+56+58+59+68, Cervix"
"91855-7","HPV 16+18+31+33+35+39+45+51+52+56+58+59+68, Genital specimen"
"97156-4","HPV 16+18+31+33+35+39+45+51+52+56+58+59+68, Genital specimen"
"49896-4","HPV 16+18+31+33+35+39+45+51+52+56+58+59+68, Specimen"
"86561-8","HPV 16+18+31+33+35+39+45+51+52+56+58+59+68, Tissue"
"43209-6","HPV 16+18+31+33+35+39+45+51+52+56+58+59+68+70, Anal"
"43210-4","HPV 16+18+31+33+35+39+45+51+52+56+58+59+68+70, Anal"
"73959-9","HPV 16+18+31+33+35+39+45+51+52+56+58+66, Tissue"
"32047-3","HPV 16+18+31+33+35+39+45+51+52+56+58+68+70, Tissue"
"21440-3","HPV 16+18+31+33+35+45+51+52+56, Cervix"
"17401-1","HPV 18 antigen, Specimen"
"75695-7","HPV 18, Anorectal"
"77395-2","HPV 18, Anorectal"
"59264-2","HPV 18, Cervix"
"77400-0","HPV 18, Cervix"
"91854-0","HPV 18, Genital specimen"
"61373-7","HPV 18, Specimen"
"86562-6","HPV 18, Tissue"
"75694-0","HPV 18+45 E6+E7 MRNA, Cervix"
"61374-5","HPV 26, Specimen"
"73732-0","HPV 26+31+33+35+39+45+51+52+53+56+58+59+66+68+73+82, Genital specimen"
"17402-9","HPV 31 antigen, Specimen"
"95539-3","HPV 31, Cervix"
"61375-2","HPV 31, Specimen"
"44543-7","HPV 31+33 antigen, Specimen"
"43170-0","HPV 31+33, Tissue"
"81439-2","HPV 31+33, Tissue"
"17403-7","HPV 31+33+35 antigen, Specimen"
"75696-5","HPV 31+33+35+39+45+51+52+56+58+59+66+68, Anorectal"
"77394-5","HPV 31+33+35+39+45+51+52+56+58+59+66+68, Anorectal"
"71431-1","HPV 31+33+35+39+45+51+52+56+58+59+66+68, Cervix"
"91853-2","HPV 31+33+35+39+45+51+52+56+58+59+66+68, Genital specimen"
"77375-4","HPV 31+33+35+39+45+51+52+56+58+59+66+68, Specimen"
"86563-4","HPV 31+33+35+39+45+51+52+56+58+59+66+68, Tissue"
"18479-6","HPV 31+35+51, Tissue"
"17404-5","HPV 33 antigen, Specimen"
"61376-0","HPV 33, Specimen"
"95538-5","HPV 33+58, Cervix"
"44544-5","HPV 35 antigen, Specimen"
"61377-8","HPV 35, Specimen"
"95537-7","HPV 35+39+68, Cervix"
"61378-6","HPV 39, Specimen"
"17405-2","HPV 42 antigen, Specimen"
"61395-0","HPV 42, Specimen"
"17406-0","HPV 43 antigen, Specimen"
"17407-8","HPV 44 antigen, Specimen"
"61379-4","HPV 44, Specimen"
"17408-6","HPV 45 antigen, Specimen"
"95536-9","HPV 45, Cervix"
"61380-2","HPV 45, Specimen"
"17409-4","HPV 5 antigen, Specimen"
"17410-2","HPV 51 antigen, Specimen"
"95535-1","HPV 51, Cervix"
"61381-0","HPV 51, Specimen"
"95534-4","HPV 52, Cervix"
"61382-8","HPV 52, Specimen"
"61383-6","HPV 53, Specimen"
"61396-8","HPV 56, Specimen"
"95533-6","HPV 56+59+66, Cervix"
"61384-4","HPV 58, Specimen"
"61385-1","HPV 59, Specimen"
"17411-0","HPV 6 antigen, Specimen"
"61393-5","HPV 6, Specimen"
"74776-6","HPV 6, Specimen"
"74777-4","HPV 6, Specimen"
"17412-8","HPV 6+11 antigen, Specimen"
"93778-9","HPV 6+11 E6+E7 mRNA, Tissue"
"18480-4","HPV 6+11, Tissue"
"38372-9","HPV 6+11+16+18+31+33+35+39+42+43+44+45+51+52+56+58+59+68, Cervix"
"43211-2","HPV 6+11+42+43+44, Anal"
"50642-8","HPV 6+11+42+43+44, Anal"
"21441-1","HPV 6+11+42+43+44, Cervix"
"42481-2","HPV 6+11+42+43+44, Cervix"
"97157-2","HPV 6+11+42+43+44, Genital specimen"
"55299-2","HPV 6+11+42+43+44, Specimen"
"55298-4","HPV 6+11+42+43+44, Urethra"
"61386-9","HPV 66, Specimen"
"61387-7","HPV 67, Specimen"
"61388-5","HPV 68, Specimen"
"61389-3","HPV 69, Specimen"
"61390-1","HPV 70, Specimen"
"61391-9","HPV 73, Specimen"
"61392-7","HPV 82, Specimen"
"69358-0","HPV E6+E7 MRNA Cells/cells, Cervix"
"74763-4","HPV E6+E7 MRNA, Anal"
"69002-4","HPV E6+E7 MRNA, Cervix"
"94425-6","HPV E6+E7 MRNA, Specimen"
"42770-8","HPV High and Low Risk DNA Panel, Cervix"
"95532-8","HPV high risk genotypes panel, Cervix"
"21698-6","HRAS gene variant analysis, Blood or tissue specimen"
"53871-0","HRAS gene variant analysis, Blood or tissue specimen"
"53623-5","HRAS gene variant analysis, Bone marrow"
"21699-4","HRAS gene variants tested for, Blood or tissue specimen"
"81814-6","HSD17B4 gene variant analysis, Blood or tissue specimen"
"95278-8","HSPB1 gene variant analysis, Blood or tissue specimen"
"95279-6","HSPB8 gene variant analysis, Blood or tissue specimen"
"53849-6","HTC2 gene variant analysis, Blood or tissue specimen"
"53850-4","HTC2 gene variants tested for, Blood or tissue specimen"
"14216-6","HTLV 1 gp46 antibody, Blood"
"77744-1","HTLV I and II antibody band pattern, Blood"
"93742-5","HTLV I and II antibody band pattern, Spinal fluid"
"93743-3","HTLV I and II IgG Band, Spinal fluid"
"93744-1","HTLV I and II IgG Panel, Spinal fluid"
"77742-5","HTLV I and II Panel, Blood"
"11260-7","HTLV I antibody, Blood"
"11609-5","HTLV I antibody, Blood"
"22359-4","HTLV I antibody, Blood"
"6432-9","HTLV I antibody, Blood"
"67815-1","HTLV I antibody, Blood"
"44535-3","HTLV I antibody, Donor Blood"
"40822-9","HTLV I antibody, Spinal fluid"
"14215-8","HTLV I G46 antibody, Blood"
"44810-0","HTLV I Gp21e antibody, Blood"
"77746-6","HTLV I Gp46-I antibody, Blood"
"22360-2","HTLV I IgG antibody, Blood"
"6433-7","HTLV I IgG antibody, Blood"
"14217-4","HTLV I P19 antibody, Blood"
"39589-7","HTLV I P19 antibody, Blood"
"77745-8","HTLV I P19-I antibody, Blood"
"14218-2","HTLV I P24 antibody, Blood"
"14219-0","HTLV I P26 antibody, Blood"
"14220-8","HTLV I P28 antibody, Blood"
"14221-6","HTLV I P32 antibody, Blood"
"14222-4","HTLV I P36 antibody, Blood"
"42340-0","HTLV I P42 antibody, Blood"
"14223-2","HTLV I P53 antibody, Blood"
"14224-0","HTLV I Rgp21 antibody, Blood"
"48160-6","HTLV I Rgp21 antibody, Blood"
"32021-8","HTLV I, Blood"
"44536-1","HTLV I, Blood"
"44537-9","HTLV I, Blood"
"16981-3","HTLV I, Specimen"
"95544-3","HTLV I, Specimen"
"21347-0","HTLV I+II antibody band pattern, Blood"
"33665-1","HTLV I+II antibody band pattern, Blood"
"21346-2","HTLV I+II antibody band pattern, Spinal fluid"
"55162-2","HTLV I+II Antibody panel, Blood"
"16982-1","HTLV I+II antibody, Blood"
"22362-8","HTLV I+II antibody, Blood"
"22363-6","HTLV I+II antibody, Blood"
"29901-6","HTLV I+II antibody, Blood"
"34318-6","HTLV I+II antibody, Blood"
"43007-4","HTLV I+II antibody, Blood"
"5226-6","HTLV I+II antibody, Blood"
"44538-7","HTLV I+II antibody, Donor Blood"
"13247-2","HTLV I+II antibody, Spinal fluid"
"21345-4","HTLV I+II antibody, Spinal fluid"
"22361-0","HTLV I+II antibody, Spinal fluid"
"63460-0","HTLV I+II antibody, Spinal fluid"
"14019-4","HTLV I+II Gp46 antibody, Blood"
"43296-3","HTLV I+II Gp46 antibody, Blood"
"21348-8","HTLV I+II IgG antibody, Blood"
"31431-0","HTLV I+II IgG antibody, Blood"
"40735-3","HTLV I+II IgG antibody, Blood"
"93745-8","HTLV I+II IgG antibody, Spinal fluid"
"14020-2","HTLV I+II P19 antibody, Blood"
"39590-5","HTLV I+II P19 antibody, Blood"
"43299-7","HTLV I+II P19 antibody, Blood"
"44580-9","HTLV I+II P21 Env antibody, Blood"
"14021-0","HTLV I+II P24 antibody, Blood"
"43300-3","HTLV I+II P24 antibody, Blood"
"14022-8","HTLV I+II P26 antibody, Blood"
"43294-8","HTLV I+II P26 antibody, Blood"
"14023-6","HTLV I+II P28 antibody, Blood"
"43293-0","HTLV I+II P28 antibody, Blood"
"14024-4","HTLV I+II P32 antibody, Blood"
"43297-1","HTLV I+II P32 antibody, Blood"
"14025-1","HTLV I+II P36 antibody, Blood"
"43301-1","HTLV I+II P36 antibody, Blood"
"44581-7","HTLV I+II P38 Tax antibody, Blood"
"14026-9","HTLV I+II P53 antibody, Blood"
"43295-5","HTLV I+II P53 antibody, Blood"
"14027-7","HTLV I+II Rgp21 antibody, Blood"
"43298-9","HTLV I+II Rgp21 antibody, Blood"
"14028-5","HTLV I+II Rgp46-I antibody, Blood"
"14029-3","HTLV I+II Rgp46-II antibody, Blood"
"30159-8","HTLV I+II, Blood"
"44874-6","HTLV I+II, Blood"
"86550-1","HTLV I+II, Blood"
"5019-5","HTLV I+II, Specimen"
"26656-9","HTLV II antibody, Blood"
"44539-5","HTLV II antibody, Blood"
"40823-7","HTLV II antibody, Spinal fluid"
"14225-7","HTLV II G46 antibody, Blood"
"77747-4","HTLV II Gp46-II antibody, Blood"
"44540-3","HTLV II IgG antibody, Blood"
"46192-1","HTLV II IgG antibody, Blood"
"44541-1","HTLV II, Blood"
"44542-9","HTLV II, Blood"
"16980-5","HTLV II, Specimen"
"61112-9","HTLV, Blood"
"75731-0","HTR2A gene c.102T>C, Blood or tissue specimen"
"75729-4","HTR2A gene c.1354C>T, Blood or tissue specimen"
"75726-0","HTR2A gene c.-1438G>A, Blood or tissue specimen"
"93190-7","HTR2A gene c.614-2211T>C genotype, Blood or tissue specimen"
"75728-6","HTR2A gene c.74C>A, Blood or tissue specimen"
"75727-8","HTR2A gene c.IVS2+54538A>G, Blood or tissue specimen"
"46726-6","HTR2A gene+HTR2C gene variant analysis, Blood or tissue specimen"
"93192-3","HTR2C gene c.551-3008C>G genotype, Blood or tissue specimen"
"93191-5","HTR2C gene c.-759C>T genotype, Blood or tissue specimen"
"75732-8","HTR2C gene c.-759C>T, Blood or tissue specimen"
"75730-2","HTR2C gene c.796G>C, Blood or tissue specimen"
"49637-2","HTT gene Allele 1 CAG Repeats, Blood or tissue specimen"
"49638-0","HTT gene Allele 2 CAG Repeats, Blood or tissue specimen"
"75393-9","HTT gene CAG Repeats, Amnio Fld/CVS"
"21763-8","HTT gene CAG Repeats, Blood or tissue specimen"
"53782-9","HTT gene CAG Repeats, Blood or tissue specimen"
"53783-7","HTT gene mutation panel, Blood or tissue specimen"
"42321-0","HTT gene variant analysis, Blood or tissue specimen"
"50621-2","HTT gene variant analysis, Blood or tissue specimen"
"89003-8","HuD antibody, Blood"
"34145-3","Human antichimeric antibody, Blood"
"58353-4","Human antihuman antibody, Blood"
"58354-2","Human antihuman antibody, Blood"
"13164-9","Human antimouse antibody, Blood"
"14975-7","Human antimouse antibody, Blood"
"31432-8","Human antimouse antibody, Blood"
"50006-6","Human antimouse antibody, Blood"
"42205-5","Human antimouse IgG antibody, Blood"
"92135-3","Human bocavirus 1+2+3, Respiratory"
"91832-6","Human Bocavirus antigen, Lower respiratory"
"48056-6","Human Bocavirus antigen, Specimen"
"91811-0","Human Bocavirus antigen, Upper respiratory"
"48057-4","Human Bocavirus IgG antibody, Specimen"
"49175-3","Human Bocavirus IgG antibody, Specimen"
"88593-9","Human Bocavirus, Lower respiratory"
"62424-7","Human Bocavirus, Specimen"
"86559-2","Human Bocavirus, Tissue"
"88613-5","Human Bocavirus, Upper respiratory"
"41004-3","Human coronavirus 229E antigen, Specimen"
"41002-7","Human coronavirus 229E IgG antibody, Blood"
"41013-4","Human coronavirus 229E IgG antibody, Blood"
"88607-7","Human coronavirus 229E, Aspirate"
"88609-3","Human coronavirus 229E, Cornea or Conjunctiva"
"88608-5","Human coronavirus 229E, Lower respiratory"
"94479-3","Human coronavirus 229E, Lower respiratory"
"82163-7","Human coronavirus 229E, Nasopharynx"
"41003-5","Human coronavirus 229E, Specimen"
"88610-1","Human coronavirus 229E, Upper respiratory"
"92876-2","Human coronavirus 229E+HKU1+NL63+OC43 and Parainfluenza virus 1+2+3+4 RNA Panel, Lower respiratory"
"92877-0","Human coronavirus 229E+HKU1+NL63+OC43 and Parainfluenza virus 1+2+3+4 RNA Panel, Upper respiratory"
"92878-8","Human coronavirus 229E+HKU1+NL63+OC43, Lower respiratory"
"88719-0","Human coronavirus 229E+HKU1+NL63+OC43, Nasopharynx"
"88891-7","Human coronavirus 229E+HKU1+NL63+OC43, Nasopharynx"
"92879-6","Human coronavirus 229E+HKU1+NL63+OC43, Upper respiratory"
"92146-0","Human coronavirus 229E+NL63, Respiratory"
"77008-1","Human coronavirus 229E+OC43, Nasopharynx"
"41453-2","Human coronavirus antigen, Specimen"
"88611-9","Human coronavirus HKU1, Aspirate"
"88612-7","Human coronavirus HKU1, Cornea or Conjunctiva"
"88594-7","Human coronavirus HKU1, Lower respiratory"
"94480-1","Human coronavirus HKU1, Lower respiratory"
"82161-1","Human coronavirus HKU1, Nasopharynx"
"62423-9","Human coronavirus HKU1, Specimen"
"88604-4","Human coronavirus HKU1, Upper respiratory"
"92147-8","Human coronavirus HKU1+OC43, Respiratory"
"41006-8","Human coronavirus NL63 IgG antibody, Blood"
"41014-2","Human coronavirus NL63 IgG antibody, Blood"
"88615-0","Human coronavirus NL63, Aspirate"
"88617-6","Human coronavirus NL63, Cornea or Conjunctiva"
"88616-8","Human coronavirus NL63, Lower respiratory"
"94481-9","Human coronavirus NL63, Lower respiratory"
"82162-9","Human coronavirus NL63, Nasopharynx"
"41005-0","Human coronavirus NL63, Specimen"
"88618-4","Human coronavirus NL63, Upper respiratory"
"41007-6","Human coronavirus OC43 antigen, Specimen"
"41008-4","Human coronavirus OC43 IgG antibody, Blood"
"41015-9","Human coronavirus OC43 IgG antibody, Blood"
"88619-2","Human coronavirus OC43, Aspirate"
"88621-8","Human coronavirus OC43, Cornea or Conjunctiva"
"88605-1","Human coronavirus OC43, Lower respiratory"
"94482-7","Human coronavirus OC43, Lower respiratory"
"82164-5","Human coronavirus OC43, Nasopharynx"
"41009-2","Human coronavirus OC43, Specimen"
"88626-7","Human coronavirus OC43, Upper respiratory"
"63430-3","Human coronavirus RNA Panel, Specimen"
"41454-0","Human coronavirus test, Specimen"
"88614-3","Human coronavirus, Aspirate"
"60265-6","Human coronavirus, Blood"
"88628-3","Human coronavirus, Cornea or Conjunctiva"
"88620-0","Human coronavirus, Lower respiratory"
"92979-4","Human coronavirus, Lower respiratory"
"41000-1","Human coronavirus, Specimen"
"41001-9","Human coronavirus, Specimen"
"88627-5","Human coronavirus, Upper respiratory"
"55180-4","Human epididymis protein 4, Blood"
"77191-5","Human epididymis protein 4, Blood"
"96044-3","Human epididymis protein 4, Blood"
"60266-4","Human metapneumovirus"
"67820-1","Human metapneumovirus A, Specimen"
"80587-9","Human metapneumovirus A+B, Nasopharynx"
"92880-4","Human metapneumovirus and Respiratory syncytial virus RNA Panel, Lower respiratory"
"92881-2","Human metapneumovirus and Respiratory syncytial virus RNA Panel, Upper respiratory"
"91831-8","Human metapneumovirus antigen, Lower respiratory"
"88222-5","Human metapneumovirus antigen, Nasopharynx"
"40979-7","Human metapneumovirus antigen, Specimen"
"60425-6","Human metapneumovirus antigen, Specimen"
"91810-2","Human metapneumovirus antigen, Upper respiratory"
"67821-9","Human metapneumovirus B, Specimen"
"88532-7","Human metapneumovirus culture, Cornea or Conjunctiva"
"89652-2","Human metapneumovirus culture, Lower respiratory"
"91778-1","Human metapneumovirus culture, Upper respiratory"
"41455-7","Human metapneumovirus genotype, Specimen"
"40980-5","Human metapneumovirus IgG antibody, Blood"
"41011-8","Human metapneumovirus IgG antibody, Blood"
"88534-3","Human metapneumovirus, Cornea or Conjunctiva"
"89651-4","Human metapneumovirus, Lower respiratory"
"92978-6","Human metapneumovirus, Lower respiratory"
"77024-8","Human metapneumovirus, Nasopharynx"
"82165-2","Human metapneumovirus, Nasopharynx"
"92134-6","Human metapneumovirus, Respiratory"
"38917-1","Human metapneumovirus, Specimen"
"40978-9","Human metapneumovirus, Specimen"
"53249-9","Human metapneumovirus, Specimen"
"91809-4","Human metapneumovirus, Upper respiratory"
"6510-2","Human Papilloma virus (HPV) antibody, Genital specimen"
"6511-0","Human Papilloma virus (HPV) antibody, Genital specimen"
"7975-6","Human Papilloma virus (HPV) antibody, Genital specimen"
"22434-5","Human Papilloma virus (HPV) antibody, Tissue"
"6512-8","Human Papilloma virus (HPV) antibody, Tissue"
"6513-6","Human Papilloma virus (HPV) antibody, Tissue"
"14499-8","Human Papilloma virus (HPV) antigen, Cervix"
"12222-6","Human Papilloma virus (HPV) antigen, Genital specimen"
"14501-1","Human Papilloma virus (HPV) antigen, Penis"
"10705-2","Human Papilloma virus (HPV) antigen, Tissue"
"14502-9","Human Papilloma virus (HPV) antigen, Urethra"
"14500-3","Human Papilloma virus (HPV) antigen, Vaginal fluid"
"91851-6","Human Papilloma virus (HPV) genotype, Genital specimen"
"48560-7","Human Papilloma virus (HPV) genotype, Specimen"
"91073-7","Human Papilloma virus (HPV) genotype, Tissue"
"13321-5","Human Papilloma virus (HPV) IgG antibody, Blood"
